"Option 1","Option 1"
"Option 2","Option 2"
"Option 3","Option 3"
"This is a child block","This is a child block"
"Simple type parameters","Simple type parameters"
"Boolean parameter: %1","Boolean parameter: %1"
"String parameter: %1","String parameter: %1"
"Int parameter: %1","Int parameter: %1"
"Float parameter: %1","Float parameter: %1"
"Null parameter: %1","Null parameter: %1"
"URL parameter: ","URL parameter: "
"Service URL parameter (API, not controller!):","Service URL parameter (API, not controller!):"
"Helper call result: %1","Helper call result: %1"
"Array parameter","Array parameter"
"Key %1 has value %2","Key %1 has value %2"
"Options parameter","Options parameter"
"Select to output demo data","Select to output demo data"
"ViewModel parameter","ViewModel parameter"
"ViewModel is instance of: \%1","ViewModel is instance of: \%1"
"{DV.Campus} Text block demo","{DV.Campus} Text block demo"
"Demo string","Demo string"
"Array Element 1","Array Element 1"
"Array Element 2","Array Element 2"
